cluster_id,n_children,stunting_rate,severe_rate,mean_haz,region,urban_rural,mean_wealth_q,mean_maternal_edu
25,6.0,33.333333333333336,16.666666666666668,-1.6083333333333336,3.0,2.0,2.833333333333334,5.333333333333334
26,5.0,20.0,0.0,-1.222,4.0,2.0,3.2,7.6000000000000005
27,7.0,71.42857142857144,42.85714285714287,-2.501428571428572,3.0,2.0,2.7142857142857144,6.285714285714287
28,12.0,33.333333333333336,8.333333333333334,-1.525,2.0,2.0,1.1666666666666665,3.916666666666667
29,5.0,40.0,20.0,-1.8960000000000001,4.0,1.0,2.8,4.2
30,9.0,22.22222222222222,0.0,-1.501111111111111,2.0,2.0,2.3333333333333335,3.7777777777777777
31,8.0,37.5,12.5,-1.48625,1.0,1.0,4.75,6.25
32,4.0,0.0,0.0,-0.49999999999999994,1.0,1.0,5.0,14.0
33,6.0,50.0,0.0,-1.6116666666666666,5.0,2.0,2.333333333333333,2.1666666666666665
34,10.0,40.0,0.0,-1.595,3.0,2.0,3.3,4.8
35,12.0,8.333333333333332,8.333333333333332,-1.0591666666666668,1.0,1.0,4.333333333333333,8.583333333333334
36,6.0,50.0,33.33333333333333,-2.291666666666667,4.0,2.0,2.0,4.666666666666667
37,7.0,57.14285714285714,28.57142857142857,-2.197142857142857,4.0,2.0,2.4285714285714284,4.857142857142856
38,3.0,33.333333333333336,33.333333333333336,-2.4533333333333336,2.0,2.0,2.0,5.333333333333333
39,7.0,0.0,0.0,-0.432857142857143,3.0,2.0,4.857142857142858,9.285714285714288
40,4.0,0.0,0.0,-0.4425,1.0,1.0,5.0,12.75
41,5.0,0.0,0.0,-0.654,2.0,2.0,4.4,6.3999999999999995
42,9.0,22.22222222222222,11.11111111111111,-1.7277777777777776,2.0,2.0,3.7777777777777777,6.777777777777778
43,6.0,49.99999999999999,0.0,-1.5033333333333332,5.0,2.0,2.1666666666666665,4.999999999999999
44,3.0,66.66666666666666,66.66666666666666,-2.6333333333333333,3.0,2.0,1.9999999999999996,2.6666666666666665
45,8.0,12.5,0.0,-1.3487500000000001,3.0,2.0,3.7500000000000004,3.6250000000000004
46,6.0,16.666666666666668,0.0,-1.365,3.0,2.0,2.0,4.333333333333335
47,12.0,41.66666666666667,8.333333333333334,-1.7308333333333337,4.0,2.0,3.0000000000000004,5.583333333333335
48,15.0,66.66666666666669,6.666666666666668,-1.8606666666666671,1.0,2.0,3.6666666666666674,3.4666666666666672
49,9.0,11.111111111111112,0.0,-0.6977777777777779,4.0,1.0,4.888888888888889,12.555555555555557
50,7.0,14.285714285714285,0.0,-1.0471428571428572,5.0,1.0,3.4285714285714284,4.857142857142858
51,7.0,71.42857142857142,14.285714285714285,-2.2328571428571427,4.0,1.0,2.2857142857142856,4.428571428571429
52,7.0,28.571428571428577,14.285714285714288,-1.6114285714285719,5.0,2.0,2.285714285714286,3.1428571428571437
53,13.0,23.07692307692308,7.692307692307694,-1.1153846153846159,5.0,2.0,2.6923076923076925,5.076923076923078
54,7.0,57.14285714285715,0.0,-1.4928571428571433,2.0,2.0,2.428571428571429,5.8571428571428585
55,13.0,15.384615384615389,7.692307692307694,-1.4176923076923083,3.0,1.0,3.923076923076923,5.076923076923077
56,8.0,75.0,12.5,-2.4450000000000003,4.0,2.0,2.0,2.7500000000000004
57,11.0,36.36363636363635,9.090909090909088,-1.8718181818181816,5.0,2.0,2.0909090909090904,3.2727272727272725
58,6.0,33.33333333333333,0.0,-1.9666666666666663,4.0,2.0,2.0,6.166666666666667
59,7.0,71.42857142857143,42.857142857142854,-2.257142857142857,4.0,2.0,2.5714285714285716,3.4285714285714284
60,7.0,28.571428571428577,0.0,-1.7714285714285714,4.0,1.0,4.2857142857142865,7.42857142857143
61,7.0,0.0,0.0,-0.2642857142857143,2.0,1.0,4.571428571428571,10.857142857142856
62,7.0,14.285714285714288,0.0,-0.9214285714285715,1.0,1.0,4.857142857142858,7.714285714285714
63,5.0,20.0,0.0,-1.564,3.0,2.0,2.6,1.6
64,8.0,50.0,25.0,-2.4050000000000002,3.0,2.0,2.25,2.7500000000000004
65,11.0,0.0,0.0,-0.32363636363636367,2.0,1.0,4.454545454545455,10.818181818181818
66,7.0,57.14285714285713,0.0,-1.8342857142857139,2.0,2.0,2.142857142857143,4.999999999999998
67,7.0,28.571428571428577,0.0,-1.3399999999999999,2.0,1.0,3.8571428571428568,5.000000000000001
68,8.0,50.0,12.5,-1.9537500000000003,3.0,2.0,3.0,4.875
69,5.0,20.0,0.0,-1.4160000000000001,3.0,2.0,4.0,5.2
70,5.0,40.0,0.0,-1.426,2.0,2.0,2.4,4.6000000000000005
